Unnamed: 0,updated,content,rating,version,author,sentiment
0,2025-06-30T22:03:26-07:00,The one feature I need is the actual battery percentage.   I’d like to know if I have 18% or 2% left.   Bars are inadequate.   I’m highly disappointed as this is a safety issue,1,2.0.10,kdspeight,negative
1,2025-06-04T20:00:22-07:00,I’ve used the app on and off for the last six months and usually within the first five minutes of the ride exits out and multiple meters stop wording working whether it’s cadence or speed or distance traveled. I’ve unloaded it loaded it doesn’t change. This thing is horrible.,1,2.0.10,Fended ski,negative
2,2025-03-31T19:03:37-07:00,"I use it as my primary—while I ride—bike computer, and it’s works really well for that on a Shimano 11 speed rim brake Di2. I come from using Shimano’s Flight Deck bike computer (when mechanical) and this is the natural progression from that.  Highly customizable, rudimentary d-fly switch control, perfect for on the fly computing.  Not quite stable enough to solely be relied upon to track your rides if you don’t want to lose a ride every now and then, but hey, it’s on my phone, so I run Cyclemeter in the background for that.  I love that it—like Flight Deck—displays what chain ring and cassette gear I’m in (if you tell it to).  I also love that it displays my sensor battery status (Wahoo speed and cadence, Watch HR, and my Di2 battery status).  Other than providing a nice picture at the end for the record of the ride, its map function is completely useless.  But hey, it’s on my phone, I’ve got Google Maps for that.  I bought an iPhone 13 mini to use with it because that’s the smallest and lightest iPhone with a decent battery life.  Quadloc mount. With a new battery in the 13 mini it can easily go 6 hours without worrying about battery life—and that’s streaming Bluetooth to my AirPod pro’s, running gps on at least two apps constantly, with the screen always on, and with an Apple Watch connected, a BT speed sensor, BT cadence sensor, and a dongle converting and broadcasting the Apple Watch HR data to BT HRP.  If I had a power sensor it would display date from that as well (I don’t, but I’m looking at them on eBay which is a bad sign that I will sooner or later).  I understand that it also works with e-bikes, but I can’t speak to that. It has its strengths and weaknesses, but its strengths are so strong that they far outweigh its shortcomings.  It’s silly to use a dedicated head (that costs $$$) and is heavy, when you have your phone with you anyway and This is a really good app for that.",5,2.0.10,Curtis Gray 34,positive
3,2024-11-21T00:58:48-07:00,"It has happened three times already during long rides, the app will crash when you switch off the display or switch to a different app. When you look at the etube ride app again it restarts and gives a message that the ride was corrupted and therefore deleted...completely unacceptable it should not crash and if it does it should restart the cached ride. Also, it needs to integrate to other services especially now that strava is shutting down their API access you need the ability to send to training peaks and other apps as well.",1,2.0.8,Scipio05,negative
4,2024-11-16T15:23:10-07:00,"Generally it’s pretty good/I don’t have a ton of complaints. It would be nice if it auto connected to the bike, but the 3 seconds it takes me to hit the Bluetooth button isn’t a big deal/I’ve gotten used to it. The one thing I really wish it had is cumulative stats, both by month and by year. I do a lot of mutisport racing and this is the only app i use that is 100% dedicated to cycling. While I can do it manually, it would be super useful for gaging mileage, particularly for determining things like how many miles are on the tires.",4,2.0.8,fishgirl1,positive
5,2024-10-05T18:57:11-07:00,"Supposedly and according to Shimano Service Trch, this spp works with the SC-EN610 Shimano cycling computer but the searching wheel goes round and round but never  connects using my iPhone 14.",1,2.0.8,1Timothy3:16,negative
6,2024-07-23T13:22:52-07:00,"Used every single day for 18mo till on 6/11/24 it stopped being able to upload to shimano connect lab ie the big full data page on the computer… been using it every day since and called tech support about it but still not working! I also made an entirely new account, deleted my stuff off phone deleted app and reinstalled and started from scratch. Same
Thing! It will upload to strava without fail but NEVER the connect lab! Please help! iPhone 12mini running latest iOS. Yeah I saw support for ios14 ended but my phones covered. Please help!",3,2.0.8,pizza1234567640635,neutral
7,2024-06-18T16:59:48-07:00,"Last three rides that I’ve tracked have either stopped logging entirely, logged some stats but incorrect distance and time (I burned 1100 kCals in 1.96 miles at a 192W average 🤣).  Peloton app tracked 26 miles.  Glitchy and needs and update asap, otherwise I’ll reluctantly go back to using the Strava app directly.",2,2.0.8,NYCPW,negative
8,2024-05-31T06:45:29-07:00,👍,5,2.0.8,Jrchavo,positive
9,2024-04-20T16:41:52-07:00,"Just getting into the app. 
Like how it has trail map integrated. 
Just not sure about the only one small offline map download ever 30 days??
I ride different areas and need more than that??
Can you pay to download more??",5,2.0.8,mclydegaz,positive
10,2024-04-08T08:35:07-07:00,"I use this app to get the most accurate reading for exercise data while riding my MTB, and I overall enjoy the app, but I really wish that it integrated with the Health app.",4,2.0.8,DirtyJ375,positive
11,2024-04-04T17:06:15-07:00,"The app is simple and works great on the iphone.  Only complaint is that there is no apple watch support.  Please Shimano, read this review and update the app to include a simple apple watch screen. Even if all it does is show  battery life.",3,2.0.8,andersdmd,neutral
12,2024-03-14T11:40:46-07:00,Cool stuff … for free! Thx.,5,2.0.8,jpplevk,positive
13,2024-02-26T15:25:57-07:00,I have not had a chance to use all the functions as of yet. I definitely need some help.,5,2.0.8,robleec,positive
14,2024-01-13T07:22:31-07:00,"This app would absolutely be perfect if you could only import a GPX route. Otherwise, it is pretty much would be the perfect bike computer app with all of its sensor integrations, and DI2 integration for controlling the screen.

Unfortunately, the lack of being able to import a route pretty much indicates an eval, those other perfect items have. If you can’t get anywhere, what’s the point?",1,2.0.8,exabrial,negative
15,2023-08-20T15:31:16-07:00,"App crashes and corrupts my ride file every time I ride. This means I can’t post my ride to Strava. I ride a 2019 Pivot Shuttle V1. 

My last e-bike was a specialized e-bike and the app was my favorite part of the bike. It allowed me to view my power data and seamlessly post rides to Strava. If this app doesn’t improve my next e-bike will not have a Shimano motor.",1,2.0.7,ZeppelinFTW,negative
16,2023-08-17T06:57:32-07:00,Connects seamlessly to Strava and to my bike,5,2.0.7,Sunburn guy!,positive
17,2023-07-24T15:38:20-07:00,Love the app except when it closes by itself during a ride. Please respond with when this will be fixed. Thanks,3,2.0.7,RIK56000,neutral
18,2023-02-06T18:52:05-07:00,so disappointed,1,2.0.2,香蕉大大侠,negative
19,2022-10-15T13:31:35-07:00,"This is a great app loaded with awesome features and has been working flawlessly. The one missing feature this really needs is the ability to sync to Apple Health. Product team, I hope you’re listening! :-)",4,2.0.2,Mogwai1,positive
20,2022-08-15T07:49:47-07:00,Please make this app interface with Apple Watches.,4,2.0.2,Jcismo1,positive
21,2022-07-21T16:17:13-07:00,"I’d like this better if it offered voice prompts to audibly till you distance, speed, etc through your headphones while you rode like other fitness apps do.",5,2.0.2,Recumbent_Rider_Dave,positive
22,2022-05-07T16:20:13-07:00,"We had trouble connecting to one of our bikes, so I took off a star. If you can get it connected, it’s a very useful, solid app that’s worth having. 

The bike that has trouble actually gave us an error code while trying to connect and wouldn’t turn on. We reseated the battery to get the bike back in operational mode, but until we figured that out ourselves, the bike was an expensive brick. We have still not been successful connecting that bIke to the app. We’ll try again at some point.",4,2.0.2,path trekker,positive
