Unnamed: 0,updated,content,rating,version,author,sentiment
0,2025-11-28T13:57:48-07:00,"Every time the app launches it immediately jumps into “searching for bike connectivity,” then loops back when I try to cancel it. Trek’s hardware is rock-solid, but—as has been the pattern over the years—the software side is still glitchy. I’ve never been able to get it to work reliably with e-bikes, lights, or anything else. Maybe give it another year of development.",1,2.9,Ezdozit4u,negative
1,2025-11-14T10:07:26-07:00,"When creating a new account, they block keychain access, provide no way to manage passwords, and block lasting a password into the password field. Its like they went out of their way to make it hard.",1,2.9,PhilFromMaine,negative
2,2025-10-22T19:18:14-07:00,"Won’t pair with FX+1S, told by mothership to take it back to the dealer, but the dealer swapped it out and it still didn’t work. I haven’t heard back.",1,2.9,Rundio2,negative
3,2025-10-15T09:09:54-07:00,"App works well, decent features, & good connection.

Biggest problem with the TQ motor is that it needs to be taken into the shop to update the firmware.  I got the range extender & it won’t work, just gives error codes, until I go in & pay for the shop to do a simple firmware update that should be capable from the end user.  Bosh & Fazua both allow this.

That being said I enjoy riding the TQ motor more than my Bosh or Fazua.",4,2.9,Djmcdoug,positive
4,2025-10-14T13:02:41-07:00,"It’s great so far, but I wish there were a way (at least an obvious way) to zoom in on the surroundings while using the map for navigating without losing direction.",4,2.9,Cookiejon,positive
5,2025-10-08T08:56:21-07:00,Commando,5,2.9,Shadow753,positive
6,2025-08-24T13:02:37-07:00,A Trek no Brasil não funciona o app paea conectar com a Rail Smart 2023,1,2.9,DanielFonseca,negative
7,2025-08-23T10:51:33-07:00,"I have a Trek Domane+ AL5 I have internet, and my phone is inches from my bike. How do I resolve this issue?",1,2.9,Hungarian Bob,negative
8,2025-08-12T15:51:07-07:00,Constantly disconnects from the bike.,1,2.9,Skybobby,negative
9,2025-08-09T13:29:39-07:00,It has the basic functionality but need to show the miles as you ride,4,2.9,FlyingT12,positive
10,2025-08-09T11:47:23-07:00,"I have the townie go! 7D step over. I had the bike for quite some time before I even realized there was an app.
I liked that app once I started using it, however, it has a major flaw. It randomly disconnects mid-ride, and that causes your electric motor to shut down. I've reached out with multiple emails to Trek, but no support so far. 
It also doesn't return to the information for the ride up to that point, which means that you will see something like 15 minutes of a two hour ride. Extremely frustrating.",1,2.9,flspy,negative
11,2025-08-06T08:19:43-07:00,"Please add CarBack support so that I can see cars behind me on the edge of the screen similar to the way cars are depicted on a Garmin bike computer like the 840.  Currently I am running the Trek Central app with the Trek Accessories app in the background and just rely on the audible tones to know when a car is approaching.  It would be great to have it graphically integrated into one app.  Other than that the app works great for me, it shows me battery, speed, power, distance, heartrate and logs my ride to Strava seamlessly.  Thank you!",4,2.9,DarwinF,positive
12,2025-08-03T05:37:58-07:00,I cannot connect my watch to get data and cannot upload to Strava.,3,2.8.1,Goozoid,neutral
13,2025-07-20T08:10:08-07:00,Works great,5,2.8.1,Frank Cala,positive
14,2025-06-27T13:30:41-07:00,Love this bike! Responsive powerful bike that has almost perfect riding position.  1 day of ownership and the app works perfect!,5,2.8.1,macnme60,positive
15,2025-06-08T12:46:58-07:00,"It used to work well but, a couple of updates ago it stopped connecting or will not stay connected to my FX2+.
A shame because it’s nice to have when it worked, now it’s just frustrating.

BTW: I’ve tried uninstalling/ reinstall etc.",1,2.8.1,US757,negative
16,2025-05-24T07:44:07-07:00,"App works well for basic functionality with the bike. You can tune the motor, you can configure the sensors, you can track rides.

However, integration with the Apple ecosystem is very poor. Can’t use the Apple Watch to track heart rate. Can’t export any activities to Apple health. This means you have to use multiple apps for any health tracking, which is doubly unfortunate because the Trek Central app has all of the motor vs human data, so can provide a much more accurate picture than e.g. Strava or Wahoo.

I hope they rectify this in a future version, and I will update my review if they do.",2,2.8,freerobby,negative
17,2025-05-05T13:32:58-07:00,"I’ve had this bike for a little over a year and it has been fine, everything except this app. The developers should honestly be embarrassed. It was horrible before this update, now the bike doesn’t even connect to the app. It used to take anywhere from 2-5 minutes HOLDING COMPLETELY STILL for it to connect to the app. Even then, it would disconnect MID RIDE 25% of the time, it’s horrible. What’s worse, when the bike is attempting to connect, and you’re riding it, it stutter stops and sometimes turns off, which is incredibly dangerous. I’m writing this while waiting in a line, not 20 feet from my bike and it couldn’t find it anymore, so I don’t even know if it will work anymore. To the developers, maybe ride the bike to see how awful your app is, before patting yourself on the back. It’s been almost a year before this update rolled out, nothing between then and now, and nothing that was bad was fixed. You added nonsense to the app, only over complicating things. Fix the connection issues, the disconnection issues (basically the safety issues, which don’t exist on regular bikes). This app is pathetic.",3,2.8,Thebikingdog,neutral
18,2025-04-28T09:09:24-07:00,Never been able to use the app.  Crashes when trying to connect to my fx2+ bike.  My dealer had the same issue. Reached out to Trek support and got no response. Looks like a helpful app if it just worked.,1,2.7,Eric S. Trek Rider,negative
