Unnamed: 0,updated,content,rating,version,author,sentiment
0,2025-12-02T09:21:35-07:00,"If you plan on using RideControl while riding- good luck.
The fonts are so small you’ll need “readers”. If you’re planning to swipe, tap, or use any other input you’ll need to take gloves off since the buttons are tiny. It’s stylish looking but not very functional.",2,1.31.1,Real Del Mar,negative
1,2025-11-18T10:40:56-07:00,"And I can't get back in. Gotta delete the app, re-download, and even after that most of the time can't login again. Fix this.",1,1.31.1,snolan760,negative
2,2025-11-16T13:15:45-07:00,"Every time I open this to check the total mileage on my bike, it’s a new hassle. Re-login, reconnect your bike, get a bunch of forced updates. This thing is such a huge waste of time and so far from being useful it is unbelievable that the bike is not also unusable. I will never purchase another product from giant and this app is why.",1,1.31.0,sprdprbrandon,negative
3,2025-10-08T08:01:04-07:00,"When changing the speed, the app freezes and I have to close and open it to see the speed is again in the lowest. This happens every time I want to change it.",1,1.30.3,JossOrnelas3,negative
4,2025-09-12T12:30:44-07:00,"I won’t go into details, however, this is one of the two or three worst apps that I ever downloaded to my phone.",1,1.30.3,beck-man,negative
5,2025-07-19T12:03:33-07:00,"Since the latest update the app will accept my credentials but then just route me back to the log in page. App support takes me to the web site and it takes me back to the App Store. Not helpful. Now I can’t use the app at all and there seems to be no one to contact for help. I’ll try deleting and reinstalling but not hopeful, in my rural area.",1,1.29.3,Docdeac,negative
6,2025-07-03T11:03:50-07:00,I could not even get through the sign up process:  app keeps crashing and sending me back to a blank sign up page to start over.  Love the Giant ebikes but this app is garbage.,1,1.29.3,DocLV2025,negative
7,2025-06-28T17:36:17-07:00,I can’t even get the app downloaded from the internet.,1,1.29.3,disappointed rail trail user,negative
8,2025-06-24T16:37:35-07:00,Pretty lousy app. Worked a couple of times but can’t get into it now. Deleted it and reloaded but still won’t work. Don’t put out apps if they don’t work.,1,1.29.3,Poor choice for buying,negative
9,2025-05-17T09:02:08-07:00,Over 90% of where I ride is out of cell phone range and even if I remember to login and open the app before I leave cell phone service the app frequently quits working and won’t work again until it has a data connection.,1,1.27.1,Polebridge Ted,negative
10,2025-05-04T10:44:48-07:00,This app used to work. Liked it since my bike doesn’t display speed distance etc. It stopped working at one point and has never started working again. Did giant just give up on it?,1,1.27.1,User of many years,negative
11,2025-04-09T04:23:14-07:00,"Can’t even get to the point of making a login. It just gives the spinning wheel and never goes anywhere. I have tried WiFi and cellular data; neither work. I have restarted my phone, deleted the app and reinstalled, and still nothing.",1,1.27.1,psosa272,negative
12,2025-01-26T09:24:11-07:00,For some stupid reason it requires me to give my gender height and weight just to switch it from metric to imperial there is no good explanation for why this is mandatory,1,1.27.1,Ytjustsad,negative
13,2024-11-14T18:56:53-07:00,"Can’t login. I tap login, takes me to a web page with another login screen. Enter credentials, says it’s successful. Goes back to app and is at login screen. Complete garbage. Haven’t been able to use in months. 
Unable to update settings on bike. After an update early this year the motor no longer works in power 4. Motor just stops when at that level. Works at level 3 and 5.  Never buy from this company!",1,1.26.3,Eric NWA,negative
14,2024-10-07T00:16:36-07:00,"Between working with my Bikeshop who spoke to giant on the phone, and running through all of the technical considerations one would have to consider to ensure all updates and orders of operation are being done correctly— I am still unable to set up my E bike in the giant app and view my battery health.",1,1.26.3,SFAppleLover,negative
